claim_ids	premises	hypotheses	labels
738	In this study we show that in non-neural cells human MICALs are required for normal actin organization, and all three MICALs regulate actin stress fibers.	MICAL redox enzymes regulate actin dynamics.	entailment
738	Moreover, we provide evidence that the generation of reactive oxygen species by MICAL proteins is crucial for their actin-regulatory function.	MICAL redox enzymes regulate actin dynamics.	entailment
738	These data suggest differential but complementary roles for MICAL1 and MICAL2 in actin microfilament regulation.	MICAL redox enzymes regulate actin dynamics.	entailment
738	The Drosophila melanogaster MICAL protein is essential for the neuronal growth cone machinery that functions through plexin- and semaphorin-mediated axonal signaling.	MICAL redox enzymes regulate actin dynamics.	neutral
738	Drosophila MICAL is also involved in regulating myofilament organization and synaptic structures, and serves as an actin disassembly factor downstream of plexin-mediated axonal repulsion.	MICAL redox enzymes regulate actin dynamics.	neutral
738	However, although MICAL1 is auto-inhibited by its C-terminal coiled-coil region, MICAL2 remains constitutively active and affects stress fibers.	MICAL redox enzymes regulate actin dynamics.	neutral
738	Sema3A stimulation generated hydrogen peroxide (H2O2) through MICAL (molecule interacting with CasL) and oxidized CRMP2, enabling it to form a disulfide-linked homodimer through cysteine-504.Oxidized CRMP2 then formed a transient disulfide-linked complex with TRX, which stimulated CRMP2 phosphorylation by glycogen synthase kinase-3, leading to growth cone collapse.Our results not only clarify the importance of H2O2 and CRMP2 oxidation in Sema3A-induced growth cone collapse but also indicate an unappreciated role for TRX in linking CRMP2 oxidation to phosphorylation.	MICAL redox enzymes regulate actin dynamics.	entailment
740	These findings indicate that MUC1 is important for physiological activation of IKKβ and that overexpression of MUC1, as found in human cancers, confers sustained induction of the IKKβ–NF-κB p65 pathway.	MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.	entailment
740	Nuclear factor-κB (NF-κB) is constitutively activated in diverse human malignancies by mechanisms that are not understood.	MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.	neutral
745	We also demonstrate that GSK-3 triggers MafA sequential phosphorylation on residues S61, T57, T53, and S49, inducing its ubiquitination and degradation.	MafA phosphorylation decreases its ubiquitination.	contradiction
745	Paradoxically, this phosphorylation increases MafA-transcriptional activity through the recruitment of the coactivator P/CAF.	MafA phosphorylation decreases its ubiquitination.	neutral
746	We also demonstrate that GSK-3 triggers MafA sequential phosphorylation on residues S61, T57, T53, and S49, inducing its ubiquitination and degradation.	MafA phosphorylation enhances its ubiquitination.	entailment
746	They are involved in developmental, metabolic, and tumorigenic processes.	MafA phosphorylation enhances its ubiquitination.	neutral
747	Paradoxically, this phosphorylation increases MafA-transcriptional activity through the recruitment of the coactivator P/CAF.	MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.	contradiction
747	Using microarray analysis, we identify a gene-expression subprogram regulated by GSK-3-mediated Maf phosphorylation involved in extracellular matrix remodeling and relevant to cancer progression.	MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.	neutral
748	Paradoxically, this phosphorylation increases MafA-transcriptional activity through the recruitment of the coactivator P/CAF.	MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.	entailment
748	Here, we show that Maf-transforming activity is controlled by GSK-3-dependent phosphorylation and that phosphorylation by GSK-3 can increase the oncogenic activity of a protein.	MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.	neutral
749	Ligation of the CD28 receptor on T cells provides a critical second signal alongside T cell receptor (TCR) ligation for naive T cell activation.	Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.	entailment
749	Despite the centrality of CD28 and its family members and ligands to immune function, many aspects of CD28 biology remain unclear.	Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.	neutral
751	Knockout of MVP leads to miR-193a accumulation in the exosomal donor cells instead of exosomes, inhibiting tumour progression.	Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).	entailment
751	In summary, our data demonstrate that MVP-mediated selective sorting of tumour suppressor miRNA into exosomes promotes tumour progression.	Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).	entailment
751	Furthermore, miR-193a causes cell cycle G1 arrest and cell proliferation repression through targeting of Caprin1, which upregulates Ccnd2 and c-Myc.	Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).	neutral
751	miR-193a interacts with major vault protein (MVP).	Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).	neutral
752	Knockout of MVP leads to miR-193a accumulation in the exosomal donor cells instead of exosomes, inhibiting tumour progression.	Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.	entailment
752	In more advanced disease, higher levels of tumour suppressor miRNAs are encapsulated in the exosomes.	Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.	neutral
760	An efficacious antimalarial regimen with no specific gametocytocidal properties but a long prophylactic time was estimated to be more effective at reducing transmission than a short-acting ACT in the highest-transmission setting.	Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.	entailment
760	METHODS AND FINDINGS We developed a mathematical model to predict the potential impact on transmission outcomes of introducing ACT as first-line treatment for uncomplicated malaria in six areas of varying transmission intensity in Tanzania.	Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.	neutral
764	Compared with placebo, orlistat reduced weight by 2.9 kg (95% confidence interval 2.5 kg to 3.2 kg), sibutramine by 4.2 kg (3.6 kg to 4.7 kg), and rimonabant by 4.7 kg (4.1 kg to 5.3 kg).	Medications to treat obesity are highly effective.	contradiction
764	CONCLUSIONS Orlistat, sibutramine, and rimonabant modestly reduce weight, have differing effects on cardiovascular risk profiles, and have specific adverse effects.	Medications to treat obesity are highly effective.	contradiction
764	DESIGN Updated meta-analysis of randomised trials.	Medications to treat obesity are highly effective.	neutral
764	STUDIES REVIEWED Double blind randomised placebo controlled trials of approved anti-obesity drugs used in adults (age over 18) for one year or longer.	Medications to treat obesity are highly effective.	neutral
765	Orlistat reduced the incidence of diabetes and improved concentrations of total cholesterol and low density lipoprotein cholesterol, blood pressure, and glycaemic control in patients with diabetes but increased rates of gastrointestinal side effects and slightly lowered concentrations of high density lipoprotein.	Medications to treat obesity do not have side effects.	contradiction
765	Sibutramine improved [corrected] concentrations of high density lipoprotein cholesterol and triglycerides [corrected] Rimonabant improved concentrations of high density lipoprotein cholesterol and triglycerides, blood pressure, and glycaemic control in patients with diabetes but increased the risk of mood disorders.	Medications to treat obesity do not have side effects.	contradiction
